date,pin_impressions,pin_outbound_clicks,etsy_search_visits,etsy_social_visits,favourites,orders,note
2026-08-28,0,0,0,2,1,0,"baseline — 21 visits total, 0 from Etsy Search, the 1 favourite is our own"
2026-08-31,0,0,0,2,1,0,"30d: 25 visits, Search 0, 15 listing views; football card #3 organic for its head term"
